description,name,PONAME,ZIP,latitude,POP2001,STATE,AREA,zip2,longitude,SUMBLKPOP,geometry
,Zip:,SNOHOMISH,98296,47.8413,19969,WA,34.27446,98296,-122.104,19515,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.162639,47.814639 -122.018023,47.775599 -122.051015,47.831135 -122.173636,47.943309 -122.185733,47.947708 -122.152741,47.85368</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,ANDERSON ISLAND,98303,47.1583,924,WA,8.3143,98303,-122.704,900,
,Zip:,ASHFORD,98304,46.8012,825,WA,60.10538,98304,-121.991,803,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.034519,46.903505 -122.077409,46.774835 -122.139544,46.75449 -121.917946,46.738544 -121.917396,46.858415</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BEAVER,98305,48.061,678,WA,63.17758,98305,-124.26,595,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-124.111928,48.060981 -124.332975,48.139063 -124.325827,47.970253</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BREMERTON,98310,47.5959,18666,WA,6.70099,98310,-122.621,18740,
,Zip:,BREMERTON,98311,47.6325,23696,WA,10.19574,98311,-122.637,23729,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.660821,47.606788 -122.596486,47.607338 -122.613532,47.657377 -122.656972,47.657377 -122.684465,47.647479</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BREMERTON,98312,47.5693,30673,WA,62.4746,98312,-122.763,30793,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.799388,47.498464 -122.683365,47.527607 -122.659721,47.552351 -122.650373,47.563899 -122.643225,47.578745 -122.700961,47.635932 -122.777393,47.660126 -122.782342,47.656277 -122.871971,47.521559</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BREMERTON,98314,47.559,0,WA,0.36923,98314,-122.642,1,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.659721,47.552351 -122.625079,47.561699 -122.650373,47.563899</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,SILVERDALE,98315,47.7233,7917,WA,11.11093,98315,-122.715,6425,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.70536,47.772299 -122.7466,47.722261 -122.692163,47.701366</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BRINNON,98320,47.7377,1038,WA,451.82694,98320,-123.184,1006,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.987444,47.606239 -122.868672,47.808041 -122.948403,47.872926 -123.164502,47.866877 -123.46693,47.866877 -123.492224,47.607338 -123.347059,47.607338</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,BUCKLEY,98321,46.9755,17058,WA,523.17217,98321,-121.794,16391,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.917946,46.738544 -121.829417,46.735245 -121.554482,46.783633 -121.585275,47.075064 -122.123598,47.238925 -122.132396,47.243324 -122.123048,47.138299 -122.066411,47.076714 -121.915747,46.927699 -121.917396,46.858415</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,CARBONADO,98323,46.9993,722,WA,27.75332,98323,-121.988,725,
,Zip:,CHIMACUM,98325,47.9747,1657,WA,22.3212,98325,-122.785,1624,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.799388,48.040086 -122.820283,47.925163 -122.782342,47.909767 -122.725156,47.959805</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,CLALLAM BAY,98326,48.1747,1536,WA,177.12132,98326,-124.307,1529,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-123.947517,48.166006 -124.298884,48.266633 -124.666747,48.197349 -124.472093,48.087925 -124.429203,48.167656 -123.938719,48.131364</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,DUPONT,98327,47.0937,2406,WA,6.42775,98327,-122.666,2269,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.696012,47.097059 -122.703711,47.071765 -122.697662,47.060218 -122.667419,47.117404</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,EATONVILLE,98328,46.8727,9004,WA,185.53661,98328,-122.217,8528,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.191782,46.762188 -122.077409,46.774835 -122.034519,46.903505 -122.229723,46.943095 -122.371589,46.980487 -122.435924,46.850717 -122.202779,46.762738</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,GIG HARBOR,98329,47.3778,9873,WA,27.01172,98329,-122.727,9560,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.730654,47.339552 -122.634977,47.403337 -122.801587,47.403886 -122.802137,47.358797 -122.794439,47.349999 -122.763097,47.343951</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,ELBE,98330,46.76,397,WA,17.69742,98330,-122.152,387,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.077409,46.774835 -122.191782,46.762188 -122.139544,46.75449</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,FORKS,98331,47.9023,6574,WA,652.12394,98331,-124.282,6703,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-124.425354,47.744256 -124.35442,47.533656 -124.276889,47.533656 -124.079485,47.804192 -124.246646,47.881174 -123.808949,48.078577 -123.938719,48.131364 -124.429203,48.167656 -124.472093,48.087925 -124.642002,47.908667</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,GIG HARBOR,98332,47.3653,13363,WA,20.95738,98332,-122.598,13043,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-122.551397,47.403337 -122.62343,47.403337 -122.626729,47.403886 -122.652573,47.339552 -122.583839,47.333503</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,Zip:,FOX ISLAND,98333,47.247,2887,WA,5.34583,98333,-122.625,2803,
